01-01-2017,00 - 01,25.7
01-01-2017,01 - 02,25.61
01-01-2017,02 - 03,25.49
01-01-2017,03 - 04,25.25
01-01-2017,04 - 05,25.63
01-01-2017,05 - 06,25.88
01-01-2017,06 - 07,26.58
01-01-2017,07 - 08,26.64
01-01-2017,08 - 09,26.7
01-01-2017,09 - 10,26.89
01-01-2017,10 - 11,27.8
01-01-2017,11 - 12,28.1
01-01-2017,12 - 13,28.36
01-01-2017,13 - 14,28.71
01-01-2017,14 - 15,29.65
01-01-2017,15 - 16,30.38
01-01-2017,16 - 17,30.77
01-01-2017,17 - 18,30.92
01-01-2017,18 - 19,30.77
01-01-2017,19 - 20,30.5
01-01-2017,20 - 21,30.19
01-01-2017,21 - 22,29.94
01-01-2017,22 - 23,29.65
01-01-2017,23 - 00,29.36
02-01-2017,00 - 01,29.42
02-01-2017,01 - 02,28.95
02-01-2017,02 - 03,28.22
02-01-2017,03 - 04,28.22
02-01-2017,04 - 05,28.92
02-01-2017,05 - 06,30.47
02-01-2017,06 - 07,32.09
02-01-2017,07 - 08,33.07
02-01-2017,08 - 09,33.92
02-01-2017,09 - 10,34.38
02-01-2017,10 - 11,34.17
02-01-2017,11 - 12,34.05
02-01-2017,12 - 13,33.64
02-01-2017,13 - 14,33.59
02-01-2017,14 - 15,33.81
02-01-2017,15 - 16,34.49
02-01-2017,16 - 17,35.16
02-01-2017,17 - 18,35.8
02-01-2017,18 - 19,34.83
02-01-2017,19 - 20,33.93
02-01-2017,20 - 21,33.42
02-01-2017,21 - 22,33.09
02-01-2017,22 - 23,32.12
02-01-2017,23 - 00,30.93
03-01-2017,00 - 01,30.65
03-01-2017,01 - 02,30.37
03-01-2017,02 - 03,30.15
03-01-2017,03 - 04,30.14
03-01-2017,04 - 05,30.41
03-01-2017,05 - 06,31.3
03-01-2017,06 - 07,32.14
03-01-2017,07 - 08,33.72
03-01-2017,08 - 09,34.39
03-01-2017,09 - 10,33.8
03-01-2017,10 - 11,33.24
03-01-2017,11 - 12,32.78
03-01-2017,12 - 13,32.58
03-01-2017,13 - 14,32.2
03-01-2017,14 - 15,32.12
03-01-2017,15 - 16,32.1
03-01-2017,16 - 17,32.31
03-01-2017,17 - 18,32.18
03-01-2017,18 - 19,31.87
03-01-2017,19 - 20,31.29
03-01-2017,20 - 21,30.69
03-01-2017,21 - 22,30.06
03-01-2017,22 - 23,29.27
03-01-2017,23 - 00,28.3
04-01-2017,00 - 01,26.63
