#�Ⱓ,01��,02��,03��,04��,05��,06��,07��,08��,09��,10��,11��,12��,13��,14��,15��,16��,17��,18��,19��,20��,21��,22��,23��,24��,�ִ�,�ּ�,�������
2019/12/31,84.61,83.19,81.02,79.85,79.88,80.62,81.57,82.49,86.09,86.09,86.09,85.99,82.42,83.23,83.23,82.49,81.41,81.69,81.41,81.09,81.09,80.92,83.5,85.68,86.09,79.85,82.86
2019/12/30,82.73,82.42,77.14,76.22,79.04,82.09,82.09,86.58,88.05,88.01,87.45,86.67,83.54,86.91,86.91,86.7,86.91,86.91,85.48,85.41,83.24,82.56,81.84,82.56,88.05,76.22,84.46
2019/12/29,82.25,82.25,82.11,78.23,78.4,80.59,80.59,81.22,81.22,79.85,79.86,79.9,78.04,78.05,78.07,79.65,80.98,82.13,82.13,82.08,82.08,81.32,81.32,81.32,82.25,78.04,80.63
2019/12/28,82.14,81.26,81.26,80.38,80.44,81.26,81.31,83.12,83.26,83.26,83.25,82.82,80.57,81.28,81.29,81.32,82.84,83.12,83.15,81.41,81.32,81.28,81.31,84.58,84.58,80.38,81.98
2019/12/27,81.91,80.71,80.71,80.56,80.71,80.71,82.85,87.06,87.69,87.65,87.29,87.19,83.46,86.12,86.12,86.41,87.17,86.74,86.69,86.69,83.48,82.88,82.63,83.23,87.69,80.56,84.66
2019/12/26,80.67,80.07,80.07,80.03,81.28,81.28,81.29,86.19,87.34,87.34,87.32,87.13,85.41,87.07,87.07,87.07,87.07,87.07,86.37,86.37,83.51,83.17,82.99,82.99,87.34,80.03,84.7
2019/12/24,82.64,81.28,81.28,80.61,80.66,80.66,82.57,86.35,87.89,87.66,86.35,86.28,83.42,85.3,86.35,86.35,87.03,86.97,86.51,86.51,83.3,82.98,82.75,83.04,87.89,80.61,84.56
2019/12/23,81.28,78.63,78.25,78.22,78.62,80.94,81.14,86.64,87.62,88.43,87.51,86.64,83.47,85.29,86.39,86.19,87.2,87.2,85.47,83.77,83.35,83.16,82.81,83.16,88.43,78.22,84.16
2019/12/22,84.47,82.26,78.98,78.98,78.98,81.83,81.83,81.83,81.75,81.57,78.55,81.22,76.97,78.39,81.22,79.05,80.58,81.24,81.26,81.26,81.26,81.26,81.26,81.26,84.47,76.97,80.76
2019/12/21,82.1,82.05,82.46,80.83,80.83,81.56,82.8,82.82,82.93,82.93,82.93,82.74,79.85,79.95,81.19,82.24,83.45,83.45,83.45,83.45,83.45,81.99,83.36,83.45,83.45,79.85,82.37
2019/12/20,81.98,81.63,80.62,80.12,81.28,81.17,82.61,87.37,88.07,88.08,87.37,86.83,85.29,86.93,86.89,86.89,86.93,86.71,86.3,85.4,84.08,83.11,82.63,83.13,88.08,80.12,84.86
2019/12/19,81.87,81.28,80.9,80.9,80.9,81.63,82.3,85.69,87.62,87.36,87.36,86.75,85.8,86.56,86.56,86.19,86.65,86.66,86.67,85.45,83.12,82.87,82.68,82.68,87.62,80.9,84.64
2019/12/18,81.99,81.5,80.75,80.62,80.75,81.62,87.05,87.18,88.02,88.02,86.93,86.21,84.84,86.34,86.78,86.78,86.78,86.78,86.69,86.69,83.55,82.87,82.71,82.92,88.02,80.62,84.95
2019/12/17,81.8,80.85,80.85,80.85,81.28,81.62,86.91,87.09,88.18,88.18,87.06,87.57,83.59,86.09,86.56,86.56,86.91,87.19,86.49,86.32,83.04,82.99,82.58,83.01,88.18,80.85,84.91
2019/12/16,80.94,78.94,78.68,78.34,81.28,80.22,82.15,87.39,87.65,90.33,90.33,86.85,85.56,86.49,90.33,87.08,90.33,90.33,87.31,87.31,84.15,82.96,82.78,82.96,90.33,78.34,85.48
2019/12/15,82.74,83.59,79.98,78.38,78.42,80.78,81.22,81.22,81.22,81.22,79.98,78.04,76.94,78.02,79.06,79.1,80.96,81.43,81.43,81.43,81.43,81.43,81.43,81.43,83.59,76.94,80.5
2019/12/14,82.58,82.67,82.72,80.11,80.2,83.03,82.74,83.13,83.13,82.46,82.42,82.22,79.31,79.99,80.34,82.09,82.4,83.17,83.17,82.99,83.17,80.94,81,83.99,83.99,79.31,82.11
2019/12/13,81.23,81.28,80.57,80.57,80.57,82.14,83.04,86.4,86.76,86.77,86.76,86.54,83.61,86.72,86.72,86.6,86.75,86.86,86.86,86.75,83.24,82.76,82.76,82.76,86.86,80.57,84.57
2019/12/12,81.78,81.03,80.74,80.61,80.74,81.16,83.17,87.14,87.62,87.9,87.58,87.38,85.29,86.15,87,86.96,87,87.01,86.69,86.69,83.57,82.66,82.64,83.04,87.9,80.61,84.86
2019/12/11,81.86,81.47,81.47,81.47,81.47,81.47,86.47,87.06,88.15,88.15,88.14,88.11,85.59,86.19,87.12,87.74,87.74,87.74,87.75,87.24,84.16,83.19,82.74,83.21,88.15,81.47,85.46
2019/12/10,81.78,80.85,80.68,80.68,80.73,81.61,86.66,86.66,87.85,87.67,86.44,86.3,83.36,86.42,87.34,86.92,87.26,87.26,87.3,87.3,84.51,83.49,83.49,83.5,87.85,80.68,85.04
2019/12/09,82.76,81.28,78.16,78.16,81.28,81.18,81.55,83.98,86.65,86.78,86.6,85.85,85.67,86.76,86.99,86.99,87.02,87.02,87.01,87.01,84.14,83.44,83.44,83.44,87.02,78.16,84.62
2019/12/08,81.22,80.73,79.21,77.94,78.52,80.63,81.22,81.22,81.22,80.26,80.03,79.8,79.8,81.43,81.43,81.43,81.43,81.96,81.96,81.96,81.94,81.22,81.22,81.22,81.96,77.94,80.83
2019/12/07,82.09,82.16,81.26,80.75,81.26,83.15,83.15,83.15,83.15,82.86,83.01,82.39,80.75,80.75,82.6,82.96,82.96,82.97,82.98,82.6,82.72,82.3,82.3,82.74,83.15,80.75,82.39
2019/12/06,81.45,81.28,81.28,80.51,81.28,81.24,86.28,86.54,87.89,87.89,85.67,87.17,83.16,85.29,86.33,86.53,87.48,87.38,86.39,86.47,83.21,82.91,82.68,82.69,87.89,80.51,84.73
2019/12/05,82.36,81.18,80.78,80.62,80.62,81.45,82.59,86.33,87.49,87.48,86.83,86.75,85.64,86.13,86.64,86.64,86.72,86.87,86.87,86.87,85.73,83.04,82.68,83.07,87.49,80.62,84.85
2019/12/04,81.63,80.69,80.69,80.69,80.69,81.57,86.99,86.99,88.02,88.02,87.08,87.38,83,84.83,85.59,87.02,87.73,87.54,86.69,87.01,83.82,82.97,82.86,83.01,88.02,80.69,84.9
2019/12/03,81.32,80.93,80.84,80.94,80.99,81.26,86.35,86.67,87.67,87.43,86.71,87.25,81.97,84.96,85.51,85.57,85.57,85.57,85.57,84.35,84.36,82.86,82.86,82.87,87.67,80.84,84.34
2019/12/02,80.77,78.16,78.17,78.17,78.17,81.58,81.99,82.36,86.52,86.52,86.52,86.34,85.59,85.98,86.94,86.94,86.94,86.94,86.25,85.28,85.01,83.2,82.74,82.93,86.94,78.16,84.14
2019/12/01,85.66,85.35,78.98,78.13,78.98,80.64,80.64,80.64,80.47,80.15,80.61,78.29,78.1,78.75,80.51,80.51,81.29,84.09,85.58,85.01,82.8,82.8,82.67,81.18,85.66,78.1,81.41
2019/11/30,82.24,79.08,78.6,78.55,78.6,79.3,80.16,80.56,80.56,80.56,80.56,80.16,77.49,79.27,79.3,79.3,79.38,81.7,81.76,81.76,81.82,79.65,79.65,79.65,82.24,77.49,80.01
2019/11/29,84.1,78.91,78.91,78.31,78.91,79.63,83.25,85.1,86.11,86.1,85.87,84.89,81.34,82.53,84.75,84.75,84.97,84.98,84.99,85,82.35,81.56,80.82,81.56,86.11,78.31,83.09
2019/11/28,82.77,79.86,79.67,79.53,79.86,79.87,83.57,85.51,87.05,87.04,85.5,86.95,80.55,82.44,84.48,85.52,86.06,86.07,85.84,85.35,82.7,82.94,82.94,82.94,87.05,79.53,83.71
2019/11/27,82.92,79.84,79.85,79.64,79.85,89.3,84.93,89.3,89.4,87.19,85.52,87.17,80.44,82.38,84.47,85.02,85.03,85.05,85.06,84.75,82.6,82.84,83.08,83.08,89.4,79.64,84.25
2019/11/26,81.68,79.69,79.69,79.68,79.69,80.9,85.94,86.04,100.28,85.96,84.95,84.45,81.13,82.73,83.63,85.11,85.13,85.14,85.15,84.83,82.68,82.79,81.56,81.94,100.28,79.68,83.98
2019/11/25,79.06,75.86,69.98,77.16,69.98,77.88,79.09,84.33,83.72,83.72,83.72,82.69,81.38,82.69,84.46,84.46,84.46,84.46,84.03,84,83.27,81.85,80.6,81.85,84.46,69.98,81.49
2019/11/24,78.6,78.45,78.3,78.3,78.3,78.63,79.23,79.22,79.21,79.18,79.24,79.24,79.19,79.24,79.25,79.53,79.53,80.36,80.49,80.33,80.45,80.49,80.33,80.33,80.49,78.3,79.41
2019/11/23,84.15,83.63,79.2,78.78,78.8,83.43,83.19,82.96,82.87,82.82,82.67,80.97,78.75,78.76,79.22,80.07,83.83,81.85,84.49,84.28,82.47,82.71,82.95,82.95,84.49,78.75,81.96
2019/11/22,81.46,81.46,79.02,79.02,79.02,79.78,84.27,85.06,85.05,85.04,85.02,84.49,81.01,82.62,85.02,85.02,85.2,85.22,85.24,85.25,82.64,81.96,80.94,82.65,85.25,79.02,83.13
2019/11/21,81.62,79.54,79.54,79.53,79.54,81.69,83.1,84.68,84.87,84.86,84.66,84.58,82.21,84.78,86.08,86.08,87,87,87,86.89,83.69,82.56,82.56,82.62,87,79.53,83.8
2019/11/20,81.62,79.57,79.57,79.49,79.57,79.58,81.94,84.61,84.72,84.71,84.6,84.67,82,87.69,88.12,87.86,88.12,86.99,87.09,87.19,82.8,82.29,82.29,82.34,88.12,79.49,83.94
2019/11/19,83.88,79.54,79.54,79.53,79.54,81.15,82.02,84.42,84.87,84.82,84.42,83.32,81.55,82.49,84.46,84.73,84.74,84.74,84.74,83.29,82.77,83.01,82.02,82.08,84.87,79.53,82.94
2019/11/18,78.71,77.16,70.99,69.81,70.99,79.71,79.68,82.98,83.43,83.43,83.43,83.37,82.13,82.47,82.88,83.96,85,85,85,85,82.88,82.51,82.23,82.23,85,69.81,81.49
2019/11/17,78.17,78.16,74.27,69.13,71.19,78.46,78.46,78.46,78.45,73.93,76,66.72,62.88,65.48,65.35,76,79.36,79.78,79.84,79.84,79.84,79.84,79.62,79.55,79.84,62.88,75.5
